2000,01,01,3.3,3.6,2.7
2000,02,02,1.5,4.3,3.5
2000,03,03,3.6,4.2,4.9
2000,04,04,2.1,1.2,2.7
2000,05,05,4,0.9,1.3
2000,06,06,2.6,4,2.6
2000,07,07,2.2,3.6,1.1
2000,08,08,1.8,1.7,2.9
2100,01,01,3.2,3,1.2
2100,02,02,2.3,1.7,3.5
2100,03,03,2.9,0.2,2.2
2100,04,04,0.8,1.9,1.7
2100,05,05,4.3,0.6,1.1
2100,06,06,4.2,2.9,2.3
2100,07,07,2.1,1.9,3.4
2100,08,08,3.7,4.8,2.4
2200,01,01,1.5,2,1.3
2200,02,02,2.6,4.1,3
2200,03,03,0.6,2.3,1.2
2200,04,04,2,4.6,3.1
2200,05,05,0.5,2.5,3.4
2200,06,06,2.7,3.6,0.5
2200,07,07,4.6,2.9,1.3
2200,08,08,0.7,2.4,4.5
2300,01,01,3.2,4.5,1.4
2300,02,02,1.7,3.4,1.4
2300,03,03,4.3,0,3.7
2300,04,04,0.8,2.6,2.8
2300,05,05,3.8,3.4,0.3
2300,06,06,0.1,0.4,4.9
2300,07,07,3.2,1,2.6
2300,08,08,1.8,3.9,1.2
2400,01,01,2.6,3.6,4.4
2400,02,02,3.9,4.5,2
2400,03,03,3.4,2.8,1.7
2400,04,04,0.1,4.7,0.2
2400,05,05,1.7,4.2,0.2
2400,06,06,0.6,0.1,3
2400,07,07,3.6,4.1,1.5
2400,08,08,3.9,4.4,1.9
2500,01,01,4,2.9,3.1
2500,02,02,1.7,4.7,2.1
2500,03,03,3.1,2.5,0.9
2500,04,04,2.7,1.7,0.6
2500,05,05,4.7,0.3,3.6
2500,06,06,1.5,0.6,3.3
2500,07,07,1.9,2.4,2.8
2500,08,08,2.1,3.2,2.9
2600,01,01,0.3,1.9,2
2600,02,02,1.8,0.8,1.5
2600,03,03,4,4.9,4.6
2600,04,04,2.3,1.8,4.5
2600,05,05,4.6,0.1,2.1
2600,06,06,0.5,2.9,3.8
2600,07,07,1.4,2.8,4.1
2600,08,08,0,4.3,0
2700,01,01,3.4,1.4,2.4
2700,02,02,1.4,3.7,0.6
2700,03,03,4.3,4.1,2.7
2700,04,04,1.5,0.9,3.6
2700,05,05,3.2,0.1,3.7
2700,06,06,2.8,2.5,0.7
2700,07,07,2.4,2.1,0.8
2700,08,08,4.5,2.9,3.7
2800,01,01,3.5,4.3,1.8
2800,02,02,2.8,4.3,1.1
2800,03,03,2.8,2.9,2.6
2800,04,04,0.4,4.3,1.3
2800,05,05,1.3,3.8,0.6
2800,06,06,4,0.4,1.8
2800,07,07,2.8,3.8,1.9
2800,08,08,1.7,1.7,4.6
2900,01,01,2.4,4.3,2
2900,02,02,3.3,4,4.9
2900,03,03,2.2,2.5,4.4
2900,04,04,4,0.5,3.9
2900,05,05,0.4,3.6,1.9
2900,06,06,3.2,4.2,1.4
2900,07,07,4.7,0.7,0.5
2900,08,08,0.4,4.8,1.1
3000,01,01,2.2,2.8,4.9
3000,02,02,4.3,4.6,1.8
3000,03,03,4,2.2,1.1
3000,04,04,1,0.5,0.1
3000,05,05,1.1,3,2.8
3000,06,06,0.5,2,3.6
3000,07,07,4.4,2.6,2.2
3000,08,08,1.5,0.8,1.6
3100,01,01,3.2,0.8,2.4
3100,02,02,3.7,1.2,2.4
3100,03,03,0,3.6,0.2
3100,04,04,4.9,2.9,0
3100,05,05,1.8,2.1,2.3
3100,06,06,3.1,3.1,3
3100,07,07,3.3,4.4,1
3100,08,08,1.3,4.9,3.1
3200,01,01,4.9,4.6,0.9
3200,02,02,2.3,1.3,1.8
3200,03,03,4,4.5,2.6
3200,04,04,1.6,3.4,4
3200,05,05,4,3.4,2.6
3200,06,06,4.2,3.6,0.7
3200,07,07,4.5,0.6,2.9
3200,08,08,1.8,3.7,1.2
3300,01,01,4.8,2.2,0.9
3300,02,02,0.9,3.6,1
3300,03,03,4.2,3.7,0.6
3300,04,04,0.1,1.3,2.2
3300,05,05,2.1,0.5,1.9
3300,06,06,4.9,2.1,0.4
3300,07,07,3.9,1.1,4
3300,08,08,1.7,0.5,2.8
3400,01,01,2.7,0,3.4
3400,02,02,0.8,2,2.4
3400,03,03,2.2,1.9,4.6
3400,04,04,3.1,3,3.4
3400,05,05,4.2,2.2,2.2
3400,06,06,0,2.5,3.5
3400,07,07,2.2,4.9,4
3400,08,08,4.2,4.8,1.3
3500,01,01,4.8,4,2.4
3500,02,02,4,0.9,3.1
3500,03,03,1.9,3.6,3.2
3500,04,04,0.5,4.4,0.4
3500,05,05,2.9,1.9,2.3
3500,06,06,2.6,0,0.5
3500,07,07,1,4.2,2.9
